# Gurgaon Phase-0 seed venues — DRAFT for founder correction (spec §4b).
# This is a STARTER list of ~45 anchor venues drafted from general knowledge.
# It is NOT ground truth: verify/extend to the top ~300 across hubs, ranked by
# where the tribe actually goes. Every row is resolved against the Google
# Places API by scripts/seed-gurgaon-places.ts before any SQL is generated —
# rows that don't resolve are flagged, so nothing unverified enters the DB.
# Columns: name,hub,zone,category,search_query
# hub ∈ 32nd_ave|cyberhub|gcr|gc_ext|m3m_ifc|worldmark_65|sector_29|galleria|crosspoint|south_point|mg_road|kitchens|sohna_road|sector_68_airia|udyog_vihar
# category ∈ restaurant|fine_dining|cafe|bakery_dessert|street_food|bar|cocktail_bar|brewery|club|live_music
name,hub,zone,category,search_query
Garam Dharam,cyberhub,gurgaon,restaurant,"Garam Dharam Cyber Hub Gurgaon"
Punjab Grill,cyberhub,gurgaon,restaurant,"Punjab Grill Cyber Hub Gurgaon"
The Drunken Botanist,cyberhub,gurgaon,cocktail_bar,"The Drunken Botanist Gurgaon"
Ministry of Beer,sector_29,gurgaon,brewery,"Ministry of Beer Sector 29 Gurgaon"
Prankster,sector_29,gurgaon,bar,"Prankster Sector 29 Gurgaon"
Vapour Bar Exchange,sector_29,gurgaon,brewery,"Vapour Sector 29 Gurgaon"
Downtown Diners & Living Beer Cafe,sector_29,gurgaon,brewery,"Downtown Diners and Living Beer Cafe SCO-34 Leisure Valley Road Sector 29 Gurgaon"
Molecule Air Bar,m3m_ifc,gurgaon,bar,"Molecule Air Bar M3M IFC Golf Course Extension Road Sector 66 Gurgaon"
Old School Brew House,sector_29,gurgaon,brewery,"Old School Brew House SCO 56 Sector 29 Gurgaon"
The Groove,32nd_ave,gurgaon,bar,"The Groove bar Level 3 Piano Man Tower 32nd Avenue Sector 15 Gurgaon"
The Potbelly Divine,32nd_ave,gurgaon,restaurant,"The Potbelly Divine Bihari restaurant 32nd Avenue Sector 15 Gurgaon"
Anardana,m3m_ifc,gurgaon,restaurant,"Anardana restaurant M3M IFC Sector 66 Gurgaon"
Blue Tokai Coffee Roasters AIPL Joy Street,gc_ext,gurgaon,cafe,"Blue Tokai Coffee Roasters AIPL Joy Street Sector 66 Gurgaon"
Slay Coffee Bar,cyberhub,gurgaon,cafe,"Slay Coffee Bar DLF Cyber City Gurgaon"
Sakley's The Mountain Cafe,galleria,gurgaon,cafe,"Sakley's Galleria Market Gurgaon"
Kitchen By Nature,galleria,gurgaon,cafe,"Kitchen By Nature Galleria Gurgaon"
The Pint Room,galleria,gurgaon,bar,"Pint Room Galleria Gurgaon"
Blue Tokai Roastery Udyog Vihar,udyog_vihar,gurgaon,cafe,"Blue Tokai Coffee Roasters Udyog Vihar Gurgaon"
Ikk Panjab,udyog_vihar,gurgaon,restaurant,"Ikk Panjab Gurgaon"
Youmee,sector_68_airia,gurgaon,restaurant,"Youmee Airia Mall Gurgaon"
Bunta Bar,sector_29,gurgaon,bar,"Bunta Bar Sector 29 Gurgaon"
Quaff,sector_29,gurgaon,club,"Quaff Sector 29 Gurgaon"
Toy Kitchen & Bar,gcr,gurgaon,cocktail_bar,"Toy Kitchen Bar Gurgaon Golf Course Road"
Oh So Stoned,cyberhub,gurgaon,bakery_dessert,"Oh So Stoned ice cream DLF Cyber City Gurgaon"
Third Wave Coffee,gcr,gurgaon,cafe,"Third Wave Coffee Golf Course Road Gurgaon"
Biryani Blues,gcr,gurgaon,restaurant,"Biryani Blues Golf Course Road Gurgaon"
Mallacca - Malaysian Kitchen,32nd_ave,gurgaon,restaurant,"Mallacca by Laut Malaysian Singaporean Indonesian restaurant Unit 34 32nd Avenue NH8 Sector 15 Part 2 Gurgaon"
Ophelia,gcr,gurgaon,club,"Ophelia Gurgaon"
Factory by Sutra,sector_29,gurgaon,live_music,"Factory by Sutra SCO-23 Sector 29 Gurgaon"
Pa Pa Ya,cyberhub,gurgaon,restaurant,"Pa Pa Ya Pan Asian bistro Unit 2C Building 10 Cyber Hub DLF Cyber City Gurgaon"
Anjeer,kitchens,gurgaon,restaurant,"Anjeer The Kitchens Global Gateway Towers MG Road Gurgaon"
Easy Tiger by Boraan,kitchens,gurgaon,restaurant,"Easy Tiger by Boraan The Kitchens Sector 26 Gurgaon"
Vellam,kitchens,gurgaon,restaurant,"Vellam Elevated Southern Cuisine restaurant MG Road Gurugram"
Asper,kitchens,gurgaon,cocktail_bar,"Asper restaurant bar Sector 26 MG Road Gurugram"
Niko - Modern Asian,kitchens,gurgaon,restaurant,"Niko Modern Asian The Kitchens Sector 26 Gurgaon"
The Fio Table,kitchens,gurgaon,restaurant,"The Fio Table The Kitchens Global Gateway Towers Gurgaon"
Miss Margarita,kitchens,gurgaon,restaurant,"Miss Margarita The Kitchens Global Gateway Towers Gurgaon"
Mjol Bake House,kitchens,gurgaon,bakery_dessert,"Mjol Bake House The Kitchens Sector 26 Gurgaon"
EVOO Eatery & Pizzeria,kitchens,gurgaon,restaurant,"EVOO Eatery Pizzeria The Kitchens Sector 26 Gurgaon"
Fig at The Kitchens,kitchens,gurgaon,cafe,"Fig The Kitchens Global Gateway Towers MG Road Gurgaon"
The Piano Man,32nd_ave,gurgaon,live_music,"The Piano Man jazz club 32nd Avenue Sector 15 Gurgaon"
Carnatic Cafe,32nd_ave,gurgaon,cafe,"Carnatic Cafe South Indian 32nd Avenue Sector 15 Gurgaon"
Fifth Avenue Bakery & Cafe,32nd_ave,gurgaon,bakery_dessert,"Fifth Avenue Bakery Cafe 32nd Avenue Sector 15 Gurgaon"
Sandhouse Cafe,32nd_ave,gurgaon,restaurant,"Sandhouse Cafe gourmet burgers 32nd Avenue Sector 15 Gurgaon"
Cafe Delhi Heights,worldmark_65,gurgaon,restaurant,"Cafe Delhi Heights Tower 5 Worldmark Sector 65 Gurgaon"
Karim's,worldmark_65,gurgaon,restaurant,"Karims Mughlai restaurant Worldmark Sector 65 Gurgaon"
Houz Cafe Bar,worldmark_65,gurgaon,bar,"Houz Cafe Bar Tower 4 Worldmark Sector 65 Gurgaon"
The Beer Cafe,worldmark_65,gurgaon,brewery,"The Beer Cafe Tower 4 Worldmark Sector 65 Gurgaon"
Thalaivar,worldmark_65,gurgaon,restaurant,"Thalaivar South Indian restaurant Worldmark Tower 1 Sector 65 Gurgaon"
Wanchai by Kylin,worldmark_65,gurgaon,restaurant,"Wanchai by Kylin Worldmark Sector 65 Gurgaon"
AB's Absolute Barbecues,mg_road,gurgaon,restaurant,"ABs Absolute Barbecues MGF Metropolis Mall MG Road Sector 28 Gurgaon"
Pirates of Grill,mg_road,gurgaon,restaurant,"Pirates of Grill MGF Mega City Mall MG Road DLF Phase 1 Gurgaon"
Longitude 77 Bar,mg_road,gurgaon,cocktail_bar,"Longitude 77 03 Bar Le Meridien MG Road Sector 26 Gurgaon"
Zambar,mg_road,gurgaon,restaurant,"Zambar South Indian Ambience Mall MG Road Gurgaon"
Citrus Cafe,sohna_road,gurgaon,cafe,"Citrus Cafe Lemon Tree Hotel Sector 68 Sohna Road Gurgaon"
The Brewhouse - Radisson,sohna_road,gurgaon,brewery,"The Brewhouse Radisson Sohna Road City Center Sector 49 Gurgaon"
The Nook,sohna_road,gurgaon,restaurant,"The Nook Vatika Business Park Sector 49 Sohna Road Gurgaon"
Nukkadwala,sohna_road,gurgaon,street_food,"Nukkadwala QSR street food Ground Floor Block 3 Vatika Business Park Sector 49 Sohna Road Gurgaon"
Yeti - The Himalayan Kitchen,crosspoint,gurgaon,restaurant,"Yeti Himalayan Kitchen Cross Point Mall DLF Phase 4 Gurgaon"
Getafix Cafe,crosspoint,gurgaon,cafe,"Getafix Cafe Cross Point Mall DLF Phase 4 Sector 28 Gurgaon"
The Pasta Bowl Company,crosspoint,gurgaon,restaurant,"The Pasta Bowl Company Cross Point Mall DLF Phase 4 Gurgaon"
48 Plates,crosspoint,gurgaon,restaurant,"48 Plates continental restaurant 1st Floor 121-123 Cross Point Mall DLF Phase 4 Gurgaon"
Downtown - South Point Mall,south_point,gurgaon,restaurant,"Downtown South Point Mall Golf Course Road Sector 53 Gurgaon"
Cafe Amaretto,south_point,gurgaon,cafe,"Cafe Amaretto South Point Mall Golf Course Road Sector 53 Gurgaon"
Midam Korean Barbecue,south_point,gurgaon,restaurant,"Midam Korean Barbecue South Point Mall Golf Course Road Sector 53 Gurgaon"
Vagator Beach Shack,south_point,gurgaon,restaurant,"Vagator Beach Shack Goan South Point Mall Golf Course Road Gurgaon"
